segment,node_type,post_id,comment_id,source,labels,text_orig,keywords
signal drop frequently,0,post002,,0,set(),Wi-Fi signal drops frequently when I move around the house,"{'signal', 'drop', 'frequently'}"
disconnect extremely slow wifi,0,post002,,1,set(),"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.","{'slow', 'wifi', 'disconnect', 'extremely', 'room'}"
disconnect extremely room wifi,0,post002,,1,set(),"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.","{'slow', 'wifi', 'disconnect', 'extremely', 'room'}"
wifi disconnect,1,post002,,1,set(),"Whenever I go to the basement or the far end of the living room, my Wi-Fi keeps disconnecting or is extremely slow.","{'slow', 'wifi', 'disconnect', 'extremely', 'room'}"
ping fine,0,post003,,0,{'tool'},Ping is fine but I can't load certain websites or online games,"{'fine', 'websites', 'online', 'game', 'certain', 'load', 'ping'}"
load websites,0,post003,,0,{'tool'},Ping is fine but I can't load certain websites or online games,"{'fine', 'websites', 'online', 'game', 'certain', 'load', 'ping'}"
online game load,0,post003,,0,{'tool'},Ping is fine but I can't load certain websites or online games,"{'fine', 'websites', 'online', 'game', 'certain', 'load', 'ping'}"
certain websites,0,post003,,0,{'tool'},Ping is fine but I can't load certain websites or online games,"{'fine', 'websites', 'online', 'game', 'certain', 'load', 'ping'}"
wifi try browse,0,post004,,1,set(),"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.","{'wifi', 'try', 'connect', 'browse', 'home'}"
connect home wifi,1,post004,,1,set(),"My phone shows it’s connected to my home Wi-Fi, but when I try to browse or use apps, nothing loads. Other devices on the network work perfectly fine.","{'wifi', 'try', 'connect', 'browse', 'home'}"
relocate desk suddenly suddenly wifi speed,0,post005,,1,set(),I relocated my desk and suddenly Wi-Fi speed dropped dramatically. Signal strength is weak compared to before.,"{'desk', 'suddenly', 'wifi', 'speed', 'relocate'}"
cable wifi connect online,0,post006,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.","{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
plug cable,1,post006,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.","{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
connect internet,2,post006,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.","{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
router internet access,0,post009,,0,"{'device', 'tool'}",Can ping router but no internet access,"{'ping', 'access', 'internet', 'router'}"
ping router internet,1,post009,,0,"{'device', 'tool'}",Can ping router but no internet access,"{'ping', 'access', 'internet', 'router'}"
ping router ip ip fine,0,post009,,1,"{'device', 'tool'}",I can ping my router IP just fine but can’t browse the web or access online services.,"{'fine', 'router', 'browse', 'ping', 'ip'}"
browse,2,post009,,1,"{'device', 'tool'}",I can ping my router IP just fine but can’t browse the web or access online services.,"{'fine', 'router', 'browse', 'ping', 'ip'}"
storage fail intermittently,0,post012,,0,set(),Uploads to cloud storage fail intermittently,"{'storage', 'fail', 'upload', 'cloud', 'intermittently'}"
upload cloud storage,1,post012,,0,set(),Uploads to cloud storage fail intermittently,"{'storage', 'fail', 'upload', 'cloud', 'intermittently'}"
connect access company access company servers vpn connect access,0,post015,,0,{'protocol'},VPN connected but no access to company servers,"{'access', 'company', 'servers', 'connect', 'vpn'}"
status connect reach vpn,0,post015,,1,{'protocol'},VPN status shows connected but I can’t reach any internal resources.,"{'internal', 'resources', 'reach', 'connect', 'status', 'vpn'}"
status connect reach internal resources,0,post015,,1,{'protocol'},VPN status shows connected but I can’t reach any internal resources.,"{'internal', 'resources', 'reach', 'connect', 'status', 'vpn'}"
router reboot randomly,0,post016,,0,"{'time', 'device'}",Router reboots randomly during peak hours,"{'randomly', 'reboot', 'peak', 'router'}"
reboot randomly peak,1,post016,,0,"{'time', 'device'}",Router reboots randomly during peak hours,"{'randomly', 'reboot', 'peak', 'router'}"
internet slow evenings,0,post017,,0,set(),Internet very slow only in evenings,"{'evenings', 'slow', 'internet'}"
speed drop sharply drop sharply pm mornings fine,0,post017,,1,{'time'},"Speed drops sharply after 7 PM every day, but mornings are fine.","{'fine', 'mornings', 'speed', 'drop', 'sharply', 'pm'}"
campus wifi phone mobile data work load,0,post018,,1,set(),"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.","{'campus', 'mobile', 'wifi', 'data', 'load', 'work', 'phone'}"
campus wifi,1,post018,,1,set(),"Certain sites won’t load on campus Wi-Fi, but on my phone’s mobile data they work.","{'campus', 'mobile', 'wifi', 'data', 'load', 'work', 'phone'}"
video stream buffer,0,post019,,1,{'device'},"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.","{'repeater', 'video', 'stream', 'connect', 'directly', 'buffer'}"
connect repeater directly,2,post019,,1,{'device'},"Video streaming buffers a lot when connected via repeater, but directly to router it’s fine.","{'repeater', 'video', 'stream', 'connect', 'directly', 'buffer'}"
access share folders,0,post020,,1,{'device'},My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,"{'access', 'folders', 'wifi', 'network', 'connect', 'share'}"
share folders network,0,post020,,1,{'device'},My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,"{'access', 'folders', 'wifi', 'network', 'connect', 'share'}"
connect wifi access,0,post020,,1,{'device'},My laptop connects to Wi-Fi but I can’t see or access shared folders on the network.,"{'access', 'folders', 'wifi', 'network', 'connect', 'share'}"
cable wifi connect online,0,post021,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.","{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
plug cable connect internet,2,post021,,1,set(),"I can get online when plugged in via cable, but Wi-Fi shows connected without internet.","{'cable', 'wifi', 'plug', 'internet', 'online', 'connect'}"
lag spike disconnect random lag spike,0,post022,,1,set(),I get random lag spikes and sometimes get disconnected.,"{'random', 'spike', 'disconnect', 'lag'}"
sync corporate email im vpn wont sync corporate,0,post023,,1,{'protocol'},My phone won’t sync corporate emails unless I’m on VPN.,"{'wont', 'corporate', 'sync', 'email', 'vpn', 'im'}"
connect slow internet,0,post025,,0,{'protocol'},VPN connected but slow internet,"{'vpn', 'slow', 'connect', 'internet'}"
vpn connect slow,0,post025,,0,{'protocol'},VPN connected but slow internet,"{'vpn', 'slow', 'connect', 'internet'}"
connect vpn internet,0,post025,,1,{'protocol'},"When connected to VPN, my internet speed drops significantly.","{'internet', 'speed', 'drop', 'connect', 'vpn'}"
internet speed drop,0,post025,,1,{'protocol'},"When connected to VPN, my internet speed drops significantly.","{'internet', 'speed', 'drop', 'connect', 'vpn'}"
dorm wifi,0,post027,,0,set(),Can't access online exams portal from dorm Wi-Fi,"{'access', 'wifi', 'portal', 'online', 'exams', 'dorm'}"
exams portal,0,post027,,0,set(),Can't access online exams portal from dorm Wi-Fi,"{'access', 'wifi', 'portal', 'online', 'exams', 'dorm'}"
dorm portal,0,post027,,0,set(),Can't access online exams portal from dorm Wi-Fi,"{'access', 'wifi', 'portal', 'online', 'exams', 'dorm'}"
online exams portal access,1,post027,,0,set(),Can't access online exams portal from dorm Wi-Fi,"{'access', 'wifi', 'portal', 'online', 'exams', 'dorm'}"
slow wifi,0,post028,,0,{'person'},Slow Wi-Fi after adding new smart devices,"{'slow', 'new', 'wifi', 'smart', 'add', 'devices'}"
add new smart devices,1,post028,,0,{'person'},Slow Wi-Fi after adding new smart devices,"{'slow', 'new', 'wifi', 'smart', 'add', 'devices'}"
connect vpn,0,post029,,0,{'protocol'},Can’t connect to VPN from coffee shop Wi-Fi,"{'shop', 'coffee', 'wifi', 'connect', 'vpn'}"
coffee coffee shop wifi,1,post029,,0,{'protocol'},Can’t connect to VPN from coffee shop Wi-Fi,"{'shop', 'coffee', 'wifi', 'connect', 'vpn'}"
block vpn connections,0,post029,,1,{'protocol'},"Public Wi-Fi blocks VPN connections, any workarounds?","{'wifi', 'connections', 'workarounds', 'public', 'vpn', 'block'}"
vpn connections workarounds,1,post029,,1,{'protocol'},"Public Wi-Fi blocks VPN connections, any workarounds?","{'wifi', 'connections', 'workarounds', 'public', 'vpn', 'block'}"
public wifi block,2,post029,,1,{'protocol'},"Public Wi-Fi blocks VPN connections, any workarounds?","{'wifi', 'connections', 'workarounds', 'public', 'vpn', 'block'}"
ethernet connect,0,post037,,0,set(),Ethernet shows connected but no internet access,"{'access', 'connect', 'internet', 'ethernet'}"
internet connect,0,post037,,0,set(),Ethernet shows connected but no internet access,"{'access', 'connect', 'internet', 'ethernet'}"
internet access,0,post037,,0,set(),Ethernet shows connected but no internet access,"{'access', 'connect', 'internet', 'ethernet'}"
network try disablingenabling internet wifi work im,0,post037,,1,set(),"Windows says I'm connected via Ethernet, but there's no internet. Wi-Fi works fine on the same network. Tried disabling/enabling the adapter — no luck.","{'wifi', 'network', 'internet', 'try', 'connect', 'disablingenabling', 'work', 'im', 'ethernet'}"
connect ethernet,2,post037,,1,set(),"Windows says I'm connected via Ethernet, but there's no internet. Wi-Fi works fine on the same network. Tried disabling/enabling the adapter — no luck.","{'wifi', 'network', 'internet', 'try', 'connect', 'disablingenabling', 'work', 'im', 'ethernet'}"
ping spike 30 spike 30 second 30 second windows,0,post038,,0,"{'time', 'cardinal', 'tool'}",Ping spikes every 30 seconds on Windows 11,"{'windows', 'second', 'ping', 'spike', '30'}"
disconnect wifi,0,post039,,0,{'protocol'},VPN disconnects Wi-Fi access to everything else,"{'wifi', 'access', 'vpn', 'disconnect'}"
access vpn,1,post039,,0,{'protocol'},VPN disconnects Wi-Fi access to everything else,"{'wifi', 'access', 'vpn', 'disconnect'}"
disconnect wifi,2,post039,,0,{'protocol'},VPN disconnects Wi-Fi access to everything else,"{'wifi', 'access', 'vpn', 'disconnect'}"
connect company vpn vpn lose access,0,post039,,1,{'protocol'},"As soon as I connect to my company’s VPN, I lose access to all other internet — can’t browse, use Teams, etc.","{'access', 'company', 'lose', 'connect', 'vpn'}"
